Dress_ID	Style	Price	Rating	Size	Season	NeckLine	SleeveLength	waiseline	Material	FabricType	Decoration	Pattern Type	Recommendation
828623528	Casual	Average	4.6	free	Automn	o-neck	sleevless	natural	polyster	chiffon	sashes	solid	1
763708514	sexy	Average	4.5	M	Spring	o-neck	threequarter	natural	polyster	NaN	lace	geometric	0
1153442065	Novelty	Average	0.0	S	Winter	turndowncollor	full	natural	cotton	NaN	NaN	patchwork	0
743729613	Casual	Average	4.9	S	Winter	turndowncollor	full	natural	cotton	NaN	NaN	solid	1
1000493051	sexy	Low	4.6	L	Automn	o-neck	sleevless	natural	NaN	NaN	lace	solid	1
911085061	bohemian	Low	4.5	M	Summer	v-neck	sleevless	natural	polyster	NaN	NaN	print	1
1174854264	work	Average	0.0	M	Automn	slash-neck	sleevless	natural	polyster	NaN	bow	patchwork	0
1053296757	cute	High	0.0	M	Spring	v-neck	full	natural	rayon	NaN	NaN	solid	1
1033843327	Casual	Average	0.0	free	Spring	o-neck	short	natural	cotton	NaN	hollowout	plaid	0
1083779666	Casual	Average	5.0	M	Summer	o-neck	short	empire	polyster	chiffon	NaN	animal	0
746255172	Casual	Average	4.7	M	spring	o-neck	sleevless	natural	NaN	chiffon	sashes	solid	0
1100974555	Sexy	Low	4.0	S	Automn	o-neck	sleevless	empire	cotton	NaN	NaN	solid	1
1019134411	Casual	Average	5.0	M	Automn	v-neck	short	natural	cotton	broadcloth	beading	solid	0
1072477320	Casual	Low	0.0	free	Summer	v-neck	halfsleeve	natural	silk	broadcloth	applique	solid	0
638423913	Casual	Medium	4.5	S	Winter	o-neck	full	natural	polyster	NaN	NaN	patchwork	1
936425780	work	Average	4.8	L	Summer	v-neck	short	natural	polyster	NaN	hollowout	solid	0
1146088956	Casual	Medium	0.0	M	Automn	v-neck	short	empire	polyster	NaN	NaN	solid	0
864253055	bohemian	Average	5.0	free	Summer	v-neck	sleevless	natural	cotton	batik	NaN	print	1
1210582154	sexy	Low	0.0	M	Spring	v-neck	short	natural	polyster	satin	ruffles	solid	1
926480831	Sexy	Average	4.2	M	Winter	v-neck	sleevless	natural	cotton	flannael	NaN	solid	0
757260823	Casual	Low	4.8	free	Spring	o-neck	full	natural	cotton	worsted	lace	solid	0
630561922	Casual	Low	4.4	S	Automn	o-neck	sleevless	natural	polyster	NaN	NaN	solid	0
734061929	Casual	Low	4.7	L	Spring	o-neck	short	NaN	chiffonfabric	chiffon	bow	dot	0
842060995	Casual	Average	5.0	XL	Winter	boat-neck	full	NaN	cotton	NaN	NaN	geometric	1
1078431253	Casual	Low	0.0	free	Spring	v-neck	sleevless	NaN	cotton	NaN	NaN	print	0
939770391	Casual	Average	0.0	free	Spring	o-neck	sleevless	natural	NaN	chiffon	NaN	solid	0
943188872	bohemian	very-high	4.7	free	Winter	v-neck	sleevless	NaN	polyster	NaN	NaN	NaN	1
1130994272	Casual	Low	5.0	M	Summer	v-neck	sleevless	empire	polyster	chiffon	ruffles	animal	0
907117649	party	Average	4.7	M	Spring	v-neck	sleevless	natural	polyster	chiffon	hollowout	solid	0
967999477	Sexy	Low	5.0	free	Spring	o-neck	full	natural	cotton	worsted	NaN	striped	0
944656411	vintage	Low	4.6	M	Summer	o-neck	short	natural	NaN	chiffon	NaN	print	0
1096779299	Casual	Average	0.0	free	Winter	o-neck	halfsleeve	empire	polyster	chiffon	hollowout	solid	0
1036333255	Casual	low	4.9	L	Summer	boat-neck	short	NaN	NaN	chiffon	NaN	patchwork	1
1065316076	Casual	Low	0.0	S	Automn	o-neck	full	natural	NaN	NaN	beading	solid	1
995802744	Sexy	Average	4.0	S	Automn	v-neck	sleevless	NaN	rayon	chiffon	NaN	patchwork	1
1018110870	Sexy	Low	5.0	M	Automn	o-neck	full	natural	NaN	chiffon	lace	print	1
850586379	Brief	Average	4.6	M	Winter	peterpan-collor	threequarter	NaN	cotton	NaN	NaN	solid	0
1169895668	Casual	Average	0.0	L	Spring	boat-neck	sleevless	natural	cotton	NaN	applique	patchwork	1
688966772	Casual	Average	4.8	L	Winter	o-neck	short	natural	cotton	NaN	pockets	solid	1
1194626925	OL	Medium	0.0	M	Winter	mandarin-collor	halfsleeve	natural	cotton	NaN	sashes	solid	0
876708804	Sexy	Low	4.8	M	Spring	o-neck	halfsleeve	natural	silk	NaN	NaN	solid	0
1118628066	Casual	Medium	0.0	S	Spring	v-neck	full	NaN	NaN	NaN	NaN	animal	1
1027818824	Casual	Medium	0.0	M	Spring	v-neck	threequarter	natural	silk	chiffon	ruffles	solid	1
891103323	Casual	Average	0.0	M	Spring	o-neck	sleevless	natural	silk	NaN	NaN	print	0
1166855026	Casual	Average	0.0	free	Winter	v-neck	full	natural	NaN	chiffon	ruffles	print	0
1023850025	vintage	Low	4.8	S	Summer	o-neck	short	natural	NaN	chiffon	ruffles	print	0
805438829	Sexy	Low	4.8	L	Summer	v-neck	full	natural	cotton	jersey	applique	print	1
836788720	fashion	Average	4.0	free	Summer	open	full	NaN	cotton	NaN	sequined	solid	0
835787654	Casual	Average	4.7	L	Summer	v-neck	short	natural	NaN	NaN	NaN	print	1
1148457078	Casual	Low	0.0	free	Winter	o-neck	halfsleeve	natural	polyster	worsted	NaN	patchwork	1
887476609	bohemian	Low	4.8	free	Summer	o-neck	short	NaN	NaN	NaN	NaN	animal	1
535968075	work	Medium	4.6	L	Winter	sqare-collor	short	empire	cotton	NaN	Tiered	solid	0
892801580	vintage	Average	4.7	L	Summer	o-neck	short	natural	cotton	NaN	button	solid	0
732650169	cute	Low	4.7	M	Spring	o-neck	short	empire	polyster	chiffon	ruffles	dot	1
680070369	Casual	Low	4.6	free	Automn	o-neck	full	natural	cotton	NaN	NaN	solid	1
1002440915	Casual	Medium	0.0	free	Spring	o-neck	sleevless	natural	cotton	broadcloth	sequined	solid	1
737538048	Casual	Average	4.7	L	Automn	o-neck	halfsleeve	NaN	NaN	NaN	lace	NaN	0
1104450248	Sexy	Average	0.0	L	Automn	v-neck	sleevless	empire	NaN	chiffon	NaN	patchwork	0
797673346	Casual	Low	4.7	free	Winter	o-neck	sleevless	natural	cotton	jersey	NaN	solid	1
1039982741	Casual	Average	0.0	M	Automn	o-neck	short	empire	polyster	NaN	applique	print	0
829087315	cute	Average	4.8	L	Automn	slash-neck	sleevless	natural	NaN	chiffon	hollowout	solid	0
1032990258	party	Average	5.0	M	Spring	o-neck	halfsleeve	natural	NaN	NaN	NaN	NaN	1
939422280	cute	Average	4.3	L	Winter	o-neck	sleevless	natural	NaN	chiffon	NaN	solid	0
974746803	Casual	Average	4.5	L	Spring	o-neck	short	natural	cotton	chiffon	NaN	patchwork	0
1018130478	Casual	Low	4.7	L	Automn	o-neck	full	NaN	cotton	chiffon	lace	print	0
956758119	Casual	Low	4.5	free	Automn	v-neck	short	natural	silk	worsted	lace	solid	0
903426442	sexy	Average	3.6	L	Winter	v-neck	full	natural	polyster	woolen	beading	solid	1
861626197	work	Average	4.8	L	Winter	v-neck	short	natural	mix	broadcloth	lace	solid	0
1077015977	vintage	Average	0.0	free	Summer	o-neck	sleevless	NaN	NaN	NaN	NaN	NaN	0
817870237	Sexy	Low	4.6	free	Spring	o-neck	full	natural	NaN	NaN	lace	leopard	1
1078996836	Sexy	Low	0.0	free	Winter	v-neck	sleevless	empire	cotton	chiffon	NaN	solid	1
881530990	work	Average	4.6	L	Spring	o-neck	short	empire	cotton	jersey	NaN	patchwork	0
937046375	Casual	Average	4.4	M	Summer	o-neck	short	empire	NaN	NaN	lace	patchwork	0
870994067	cute	Low	4.9	M	Automn	o-neck	short	natural	chiffonfabric	chiffon	bow	dot	0
893330898	Sexy	Low	4.6	free	Summer	v-neck	sleevless	natural	cotton	broadcloth	beading	solid	0
822053936	party	Average	4.4	free	Automn	v-neck	threequarter	natural	NaN	NaN	NaN	solid	0
1059959935	Casual	Average	0.0	free	Spring	o-neck	short	NaN	cotton	NaN	lace	NaN	1
1197204708	Casual	Low	0.0	M	Summer	v-neck	full	natural	acrylic	NaN	lace	solid	0
713439584	Sexy	Average	4.6	M	Winter	o-neck	full	natural	polyster	NaN	NaN	patchwork	1
732736124	work	Average	4.6	M	Spring	v-neck	full	NaN	NaN	chiffon	NaN	NaN	0
709353440	cute	Average	4.7	L	Winter	o-neck	sleevless	natural	chiffonfabric	NaN	lace	solid	0
1031230798	bohemian	Average	4.7	L	Automn	o-neck	sleevless	natural	NaN	chiffon	NaN	solid	0
1225512606	cute	High	0.0	M	Winter	o-neck	threequarter	empire	silk	chiffon	lace	patchwork	0
1158347154	Casual	Average	0.0	XL	Winter	o-neck	short	empire	polyster	NaN	button	solid	0
976975672	Novelty	Average	4.9	L	Automn	o-neck	short	natural	polyster	chiffon	NaN	print	1
520233308	Casual	Low	4.7	M	Automn	o-neck	full	NaN	cotton	NaN	NaN	solid	0
935827969	cute	Average	4.3	free	Summer	boat-neck	sleevless	NaN	NaN	NaN	NaN	NaN	1
1130624045	Sexy	Low	0.0	free	Automn	slash-neck	short	empire	NaN	NaN	hollowout	solid	0
547555172	cute	Low	4.7	XL	Summer	o-neck	short	empire	chiffonfabric	chiffon	bow	print	0
1083323104	Sexy	low	4.5	L	Spring	o-neck	sleevless	NaN	NaN	NaN	lace	solid	0
955188745	Casual	Average	4.7	M	Automn	o-neck	sleevless	NaN	cotton	NaN	NaN	animal	1
1140306858	Casual	Average	0.0	L	Spring	boat-neck	sleevless	natural	cotton	NaN	lace	solid	1
895807023	cute	low	4.7	free	Summer	o-neck	sleevless	NaN	NaN	chiffon	NaN	print	1
818505402	Casual	low	4.4	free	Summer	turndowncollor	sleevless	natural	cotton	NaN	NaN	solid	0
897981100	Casual	Average	4.8	L	winter	v-neck	short	empire	polyster	NaN	ruffles	solid	0
973481686	vintage	Average	4.3	free	winter	o-neck	short	NaN	chiffonfabric	chiffon	NaN	print	0
1021375534	cute	low	4.5	L	Summer	o-neck	sleevless	natural	cotton	chiffon	sashes	solid	1
549437715	Casual	Average	4.4	M	Summer	turndowncollor	sleevless	natural	chiffonfabric	chiffon	NaN	solid	0
1097548715	vintage	Medium	0.0	S	Winter	turndowncollor	halfsleeve	natural	cotton	broadcloth	NaN	plaid	0
578702321	Sexy	low	4.7	free	Summer	turndowncollor	sleevless	natural	cotton	NaN	NaN	solid	1
1155548915	vintage	High	0.0	L	Summer	o-neck	short	natural	cotton	NaN	NaN	print	0
1199064757	Casual	low	0.0	free	Spring	v-neck	threequarter	NaN	silk	NaN	lace	NaN	1
1078994436	Sexy	Average	0.0	S	Automn	slash-neck	short	natural	NaN	NaN	lace	solid	0
949226757	Casual	Low	0.0	free	Spring	o-neck	short	natural	NaN	NaN	hollowout	solid	0
832191944	cute	Medium	5.0	free	Winter	o-neck	sleevless	natural	silk	NaN	lace	solid	1
869572905	Casual	Low	4.7	free	Summer	o-neck	sleevless	NaN	NaN	NaN	NaN	print	0
896048351	Sexy	Low	4.8	free	Spring	v-neck	sleevless	NaN	NaN	NaN	sequined	solid	1
854444464	Casual	Average	4.5	L	Winter	o-neck	short	natural	cotton	NaN	bow	patchwork	0
1246749980	vintage	Average	0.0	S	Spring	o-neck	full	natural	mix	chiffon	embroidary	print	0
849613634	Casual	Average	3.7	free	Automn	boat-neck	full	NaN	NaN	NaN	NaN	solid	1
1019768234	vintage	Average	4.8	L	Winter	o-neck	sleevless	natural	cotton	NaN	NaN	patchwork	0
785830491	cute	Average	0.0	XL	Spring	boat-neck	full	NaN	cotton	worsted	applique	dot	1
832391864	Casual	Average	0.0	L	Winter	open	short	natural	mix	poplin	applique	solid	1
1069595866	sexy	Medium	5.0	M	Winter	o-neck	sleevless	empire	polyster	NaN	bow	solid	0
733715437	Brief	Average	4.9	free	Summer	slash-neck	sleevless	natural	NaN	NaN	NaN	solid	0
828949946	Casual	High	4.9	S	Spring	o-neck	threequarter	natural	NaN	NaN	NaN	dot	1
765264430	Brief	Average	4.6	free	Winter	o-neck	full	natural	mix	NaN	sashes	solid	0
722020708	Casual	Low	4.5	free	Winter	o-neck	full	natural	mix	worsted	applique	solid	0
980295760	Casual	Low	4.8	XL	Summer	o-neck	short	empire	mix	chiffon	sashes	geometric	0
913978120	Sexy	Medium	4.6	L	Summer	o-neck	short	natural	spandex	jersey	lace	solid	0
1062354779	Casual	Average	4.5	M	Winter	v-neck	sleevless	natural	NaN	chiffon	button	striped	0
1051749304	work	Average	0.0	S	Automn	o-neck	sleevless	natural	linen	NaN	NaN	patchwork	0
1206128856	Casual	Low	0.0	L	Winter	o-neck	sleevless	empire	polyster	NaN	NaN	leopard	0
956453735	cute	low	5.0	L	Winter	o-neck	threequarter	natural	silk	chiffon	sashes	print	0
767971724	Brief	Average	4.3	M	Spring	o-neck	full	natural	mix	worsted	sequined	patchwork	1
722565148	Sexy	low	4.4	free	Automn	o-neck	full	empire	cotton	NaN	NaN	leopard	0
1167448608	cute	low	0.0	free	Summer	peterpan-collor	short	empire	cotton	broadcloth	applique	print	0
549159213	Casual	Average	4.5	free	Summer	o-neck	short	natural	cotton	NaN	NaN	solid	1
940918554	Sexy	low	4.7	M	Winter	slash-neck	sleevless	NaN	nylon	NaN	sashes	solid	1
522776523	Casual	low	4.7	free	Spring	o-neck	sleevless	empire	cotton	chiffon	NaN	floral	0
658650071	Casual	Medium	4.8	M	Winter	peterpan-collor	short	natural	polyster	chiffon	lace	patchwork	0
560474456	Sexy	low	4.3	free	Winter	v-neck	sleevless	natural	silk	worsted	lace	solid	1
1150052066	bohemian	Average	0.0	L	Winter	turndowncollor	full	natural	mix	NaN	NaN	solid	0
929797706	Casual	Low	0.0	free	NaN	o-neck	full	natural	cotton	NaN	NaN	patchwork	0
886351969	cute	Medium	4.8	free	Spring	slash-neck	sleevless	natural	polyster	chiffon	sashes	solid	1
1071947910	Sexy	Average	0.0	S	Automn	v-neck	sleevless	empire	cotton	NaN	beading	solid	0
813753347	Casual	Low	4.6	S	Spring	o-neck	full	natural	cotton	NaN	NaN	solid	1
733134203	vintage	Medium	4.7	free	Spring	turndowncollor	sleevless	natural	mix	NaN	lace	solid	1
851256794	work	low	4.7	free	Summer	o-neck	full	empire	cotton	NaN	NaN	solid	0
751049573	cute	Average	4.8	M	Summer	o-neck	short	natural	cotton	NaN	rivet	solid	0
882490248	cute	Average	0.0	M	Summer	o-neck	short	natural	cotton	chiffon	NaN	print	0
541172235	Casual	Average	4.7	M	winter	o-neck	full	NaN	NaN	NaN	NaN	animal	0
727676110	Casual	low	4.6	free	winter	o-neck	full	natural	polyster	NaN	applique	solid	1
891631697	party	Average	5.0	free	Summer	v-neck	sleevless	NaN	NaN	NaN	NaN	NaN	0
1059306768	Casual	Average	0.0	free	Summer	v-neck	sleevless	natural	cotton	chiffon	NaN	patchwork	0
764321904	Sexy	Average	5.0	L	winter	o-neck	threequarter	natural	polyster	NaN	lace	geometric	0
902108125	Sexy	Average	4.8	free	Winter	o-neck	sleevless	natural	polyster	NaN	embroidary	solid	0
874397327	Casual	Average	4.7	S	Summer	v-neck	short	natural	cotton	NaN	NaN	dot	0
861698160	Casual	Average	4.1	M	Automn	v-neck	full	NaN	NaN	chiffon	sashes	NaN	1
981437831	Casual	Average	5.0	XL	Automn	o-neck	short	natural	chiffonfabric	chiffon	NaN	NaN	0
1036456647	Sexy	Average	5.0	M	Summer	v-neck	sleevless	empire	cotton	NaN	sequined	solid	1
951280194	work	Average	4.6	L	Summer	slash-neck	short	natural	cotton	NaN	NaN	solid	0
1079373429	Casual	Average	4.5	M	Summer	peterpan-collor	sleevless	NaN	NaN	NaN	NaN	NaN	0
747381880	vintage	Average	4.5	L	Automn	o-neck	sleevless	empire	NaN	worsted	NaN	solid	0
1099363892	Casual	Average	0.0	M	Summer	o-neck	threequarter	natural	nylon	broadcloth	NaN	solid	1
941333009	cute	Average	4.7	L	Summer	o-neck	sleevless	natural	cotton	worsted	NaN	print	0
819651586	bohemian	Low	4.7	free	Winter	o-neck	short	natural	nylon	NaN	sashes	print	0
1043590098	Casual	low	5.0	free	Spring	slash-neck	sleevless	empire	spandex	NaN	NaN	striped	1
1091666465	Casual	Average	5.0	M	Winter	o-neck	sleevless	natural	NaN	chiffon	sashes	solid	1
863336720	Casual	Average	4.3	free	Summer	o-neck	sleevless	natural	cotton	worsted	NaN	striped	0
771972560	work	low	4.5	M	Winter	v-neck	threequarter	NaN	NaN	NaN	NaN	patchwork	0
756492184	Casual	Average	4.3	S	Spring	boat-neck	full	natural	cotton	NaN	lace	patchwork	1
1097157656	Casual	Average	4.4	L	Automn	o-neck	halfsleeve	natural	NaN	dobby	lace	animal	0
573923366	sexy	Low	4.3	M	Automn	open	short	natural	lace	NaN	lace	print	0
756620535	Casual	Low	4.6	free	Summer	o-neck	full	natural	cotton	worsted	lace	solid	1
765350508	Casual	low	4.6	L	Winter	o-neck	full	NaN	cotton	NaN	NaN	NaN	0
968294356	Casual	Average	4.6	M	Spring	o-neck	sleevless	natural	NaN	chiffon	sashes	solid	1
1017678811	Casual	low	0.0	free	Automn	peterpan-collor	threequarter	empire	NaN	NaN	NaN	NaN	0
933231033	Casual	Average	4.7	S	Spring	o-neck	halfsleeve	empire	NaN	chiffon	NaN	NaN	1
1199765487	Casual	Average	0.0	S	Summer	o-neck	sleevless	empire	cotton	NaN	NaN	solid	0
965817793	Casual	low	4.8	free	Summer	o-neck	sleevless	natural	cotton	NaN	NaN	print	1
1074432879	Casual	Average	5.0	S	Winter	o-neck	sleevless	empire	polyster	chiffon	NaN	plaid	0
1132858821	Sexy	very-high	0.0	free	Winter	v-neck	sleevless	natural	polyster	knitting	NaN	solid	0
905732124	Casual	low	4.4	free	Summer	o-neck	sleevless	natural	polyster	NaN	sashes	print	0
711045472	Casual	Average	4.8	M	Automn	v-neck	short	NaN	NaN	chiffon	embroidary	print	1
923983419	Casual	Average	5.0	free	Summer	v-neck	sleevless	NaN	modal	NaN	NaN	patchwork	0
733025646	Sexy	low	4.8	M	Automn	v-neck	full	natural	cotton	NaN	NaN	print	1
720099861	Casual	Average	4.6	free	Winter	v-neck	full	natural	cotton	flannel	NaN	striped	0
923915314	Casual	Average	4.6	M	Winter	v-neck	full	natural	chiffonfabric	chiffon	NaN	NaN	0
1077555214	Casual	low	5.0	S	Spring	o-neck	sleevless	natural	chiffonfabric	NaN	NaN	print	0
1216538883	cute	Average	0.0	M	Winter	o-neck	short	natural	polyster	chiffon	sashes	solid	0
531254082	Casual	low	4.8	free	Spring	o-neck	sleevless	NaN	chiffonfabric	chiffon	NaN	print	1
890279029	Casual	Average	4.6	M	Automn	o-neck	short	empire	polyster	NaN	applique	dot	0
995964089	bohemian	Average	5.0	M	Spring	slash-neck	sleevless	empire	NaN	chiffon	ruffles	solid	1
868453353	Casual	Low	4.9	free	winter	o-neck	sleevless	empire	silk	NaN	sashes	print	1
1024954013	Casual	Average	4.7	L	Summer	o-neck	sleevless	natural	silk	chiffon	beading	solid	0
685606338	Casual	Medium	4.6	M	winter	o-neck	full	natural	cashmere	NaN	NaN	solid	1
877962269	Casual	Average	4.7	M	winter	v-neck	sleevless	empire	polyster	chiffon	applique	print	0
995644296	Sexy	Average	4.7	M	winter	v-neck	sleevless	natural	polyster	broadcloth	NaN	patchwork	0
1066273951	Casual	Average	3.5	M	winter	v-neck	short	natural	NaN	NaN	NaN	solid	0
822176645	Casual	Average	4.8	M	winter	o-neck	threequarter	natural	NaN	NaN	NaN	print	1
659466129	Casual	Average	0.0	M	winter	o-neck	full	natural	cotton	jersey	feathers	solid	1
694493217	Casual	low	4.6	M	Summer	o-neck	sleevless	natural	cotton	NaN	sashes	striped	0
793162246	Casual	Average	4.7	L	Spring	v-neck	halfsleeve	natural	NaN	broadcloth	NaN	print	1
817945281	Casual	low	4.5	free	Summer	o-neck	full	natural	cotton	NaN	button	solid	0
920902282	Casual	Average	4.7	M	Summer	o-neck	sleevless	natural	polyster	NaN	NaN	character	0
727820291	Casual	low	4.5	M	Winter	o-neck	short	natural	chiffonfabric	chiffon	NaN	solid	0
699738864	Casual	low	4.7	S	summer	o-neck	full	natural	cotton	NaN	NaN	patchwork	0
1197211965	cute	Low	0.0	free	Summer	boat-neck	sleevless	NaN	cotton	NaN	NaN	print	0
682561447	party	very-high	5.0	M	Spring	slash-neck	sleevless	natural	chiffonfabric	chiffon	flowers	NaN	1
999081623	Casual	Average	4.9	M	Automn	v-neck	sleevless	NaN	polyster	NaN	NaN	NaN	1
1108613896	party	very-high	0.0	L	Winter	v-neck	sleevless	natural	polyster	tulle	beading	NaN	0
1054555186	party	very-high	0.0	M	Winter	v-neck	cap-sleeves	NaN	NaN	chiffon	lace	NaN	0
915238287	Casual	Low	4.4	M	Winter	v-neck	turndowncollor	NaN	cotton	NaN	NaN	NaN	1
1107279894	party	very-high	0.0	M	Spring	v-neck	threequater	natural	lycra	sattin	applique	NaN	1
1163040038	party	high	0.0	M	Winter	Sweetheart	sleevless	natural	NaN	NaN	pearls	NaN	0
1091877430	party	high	0.0	M	Spring	Sweetheart	sleevless	NaN	nylon	NaN	NaN	NaN	0
1053467336	party	Average	5.0	M	Winter	o-neck	capsleeves	empire	polyster	NaN	lace	NaN	1
609889168	party	high	4.7	M	Winter	sweetheart	sleeveless	natural	NaN	chiffon	flowers	NaN	0
662727740	party	NaN	4.8	free	Winter	o-neck	sleevless	empire	NaN	NaN	embroidary	NaN	1
1090993173	party	NaN	4.5	L	Summer	NaN	full	NaN	NaN	NaN	NaN	NaN	1
963684109	party	very-high	4.9	M	Spring	Sweetheart	sleeevless	empire	NaN	chiffon	beading	NaN	1
619817668	party	high	4.6	M	winter	Sweetheart	sleevless	natural	NaN	chiffon	NaN	NaN	0
1066740059	party	Average	5.0	M	Spring	Sweetheart	sleevless	natural	polyster	NaN	NaN	NaN	1
732184480	party	very-high	4.8	L	Spring	Sweetheart	sleevless	empire	microfiber	organza	beading	NaN	1
1044683061	party	very-high	0.0	M	Winter	Sweetheart	sleevless	natural	polyster	chiffon	beading	NaN	1
579010251	party	high	4.6	L	Spring	slash-neck	sleevless	empire	silk	chiffon	beading	NaN	0
751364623	party	Average	4.8	L	NaN	Sweetheart	sleevless	empire	NaN	NaN	pleat	NaN	1
898316819	party	Medium	4.6	S	Winter	Scoop	short	empire	NaN	NaN	crystal	NaN	0
